"60"	"25/01/2021 - 10:31"	"ENSAPBX"	""	"2013"	"7"	"Occitanie"	""	"Femme"	"1"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	"X"	""	""	""	"C.D.I"	"32"	"3"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"7"	"3"	""	"X"	""	"21073"	""	"zéro"	"2"
"61"	"25/01/2021 - 10:43"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2017"	"3"	"Pays de la Loire"	""	"Homme"	"0"	"Agence de paysage"	""	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"38"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"3"	"4"	"22928"	"X"	""	"22928"	""	"Forfait mobilités durables"	"4"
"62"	"25/01/2021 - 11:23"	"Agrocampus Ouest (INH)"	""	"2010"	"11"	"Occitanie"	""	"Femme"	"0"	"Bureau d'études"	""	"201-500"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"45"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"10"	"4"	"28800"	"X"	""	"28800"	""	"RTT et tickets restaurants"	"0 - Pas du tout satisfait"
"63"	"25/01/2021 - 11:30"	"ENSAPL"	""	"2010"	"11"	"Île-de-France"	""	"Homme"	"2"	"Bureau d'études"	"BET VRD et Paysage"	"26-50"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"4"	"Non, pas du tout"	"Responsable d'équipe"	""	"2"	"5 - Très satisfait"	"49500"	"X"	""	"49500"	""	"RTT, Tickets restaurant, voiture de fonction"	"4"
"64"	"25/01/2021 - 11:44"	"ENSAPL"	""	"2018"	"2"	"Provence-Alpes-Côte d'Azur"	""	"Homme"	"0"	"Agence de paysage"	""	"26-50"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"42"	"1"	"Oui, y compris à temps complet"	"Assistant(e) de projet"	""	"2"	"4"	"18324"	"X"	""	"19670"	""	"ticket restaurant "	"0 - Pas du tout satisfait"
"65"	"25/01/2021 - 16:04"	"ENSP Versailles"	""	"2015"	"4"	"Auvergne-Rhône-Alpes"	""	"Homme"	"0"	"Agence d'architecture"	""	"201-500"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"5 - Très satisfait"	"Non, exceptionnellement pour les deux confinements"	"Chargé(e) d'étude"	""	"4"	"0 - Pas du tout satisfait"	"19950"	"X"	""	"21250"	""	"RTT, CE"	"2"
"66"	"25/01/2021 - 18:32"	"ENSP Versailles"	""	"2014"	"6"	"Paris"	""	"Femme"	"0"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude confirmé"	""	"4"	"3"	"24000"	"X"	""	"22400"	""	"tickets restaurants"	"3"
"67"	"25/01/2021 - 18:37"	"Agrocampus Ouest (INH)"	""	"2012"	"9"	"Pays de la Loire"	""	"Homme"	"1"	"Entreprise de réalisation"	""	"1"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"Dirigeant de SARL"	"55"	"3"	"Non, pas du tout"	"Directeur(trice)/Dirigeant(e) de société"	""	"4"	"5 - Très satisfait"	"22000"	"X"	""	""	""	"0"	"3"
"68"	"26/01/2021 - 06:09"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2015"	"6"	"Auvergne-Rhône-Alpes"	""	"Homme"	"0"	"Fonction publique"	"PNR (collectivité - contractuel)"	"51-200"	"Fonction publique territoriale"	""	""	""	""	""	""	""	""	"C.D.D"	"35"	"4"	"Oui, si flexbile"	"Chargé(e) d'affaires / d'opérations / de missions"	""	"1"	"4"	"21000"	"X"	""	"21000"	""	"Rien"	"3"
"69"	"26/01/2021 - 08:32"	"ESAJ"	""	"1994"	"27"	"Occitanie"	""	"Femme"	"2"	"Agence de paysage"	""	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	"X"	""	""	""	""	""	""	""	"Dirigeant de SARL"	"45"	"2"	"Oui, si flexbile"	"Chef(fe) de projet confirmé"	""	"27"	"2"	"26000"	"X"	""	"0"	""	""	"1"
"70"	"26/01/2021 - 10:55"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2017"	"3"	"Autre"	"Irlande"	"Femme"	"0"	"Agence de paysage"	""	"6-10"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"37.5"	"4"	"Oui, y compris à temps complet"	"Assistant(e) de projet"	""	"3"	"3"	"38000"	"X"	""	"38000"	""	"500€ carte cadeau à Noel"	"4"
"71"	"26/01/2021 - 12:06"	"Agrocampus Ouest (INH)"	""	"2011"	"9"	"Bretagne"	""	"Homme"	"3"	"Bureau d'études"	"Développement et construction de projets d'énergies renouvelables (éolien, photovoltaïque)"	"26-50"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"1"	"4"	"29404"	"X"	""	"29404"	""	"Voiture de fonction, prime d'intéressement, tickets restaurants"	"4"
"72"	"26/01/2021 - 13:01"	"Agrocampus Ouest (INH)"	""	"2015"	"5"	"Pays de la Loire"	""	"Femme"	"0"	"Groupe"	"Entreprise de paysage "	"26-50"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	"X"	""	""	""	"C.D.I"	"40"	"2"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"5"	"4"	"23352"	"X"	""	"23352"	""	"RTT, tickets restaurants, CE, 13ème mois"	"1"
"73"	"26/01/2021 - 14:23"	"ESAJ"	""	"1995"	"22"	"Île-de-France"	""	"Femme"	"2"	"Agence de paysage"	"SARL"	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	"X"	""	"Dirigeant de SARL"	"40"	"4"	"Oui, si flexbile"	"Directeur(trice)/Dirigeant(e) de société"	""	"12"	"4"	"45500"	""	"X"	""	"45500"	"Aucun"	"4"
"74"	"26/01/2021 - 14:27"	"ENSP Versailles"	""	"2016"	"5"	"Nouvelle-Aquitaine"	""	"Femme"	"0"	"Association"	"Association de protection de la nature"	"201-500"	"Convention collective nationale de l'animation"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"3"	"Non, exceptionnellement pour les deux confinements"	"Chargé(e) d'affaires / d'opérations / de missions"	""	"2"	"4"	"20041"	"X"	""	"22491"	""	"2 RTT par mois (pour semaine 39h) et la moitié des frais de déplacement et des tickets restaurants pris en charge, CE "	"1"
"75"	"26/01/2021 - 18:23"	"Agrocampus Ouest (INH)"	""	"2017"	"4"	"Île-de-France"	""	"Femme"	"0"	"Agence de paysage"	""	"26-50"	"Je ne sais pas"	""	""	""	""	""	""	""	"X"	"C.D.I"	"37"	"5 - Très satisfait"	"Oui, y compris à temps complet"	"Assistant(e) de projet"	""	"1"	"5 - Très satisfait"	""	"X"	""	"21410"	""	"RTT, Tickets restau, Navigo 50%"	"0 - Pas du tout satisfait"
"76"	"26/01/2021 - 19:18"	"ENSAPL"	""	"2015"	"5"	"Normandie"	""	"Femme"	"0"	"C.A.U.E"	""	"11-25"	"Convention collective des CAUE"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"5 - Très satisfait"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"2"	"4"	"23380"	"X"	""	"23380"	""	"RTT, Tickets Restaurant, CNAS"	"2"
"77"	"27/01/2021 - 02:46"	"Gembloux"	""	"2019"	"2"	"Autre"	"Montreal (canada)"	"Homme"	"0"	"Agence de paysage"	""	"6-10"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	"X"	"C.D.D"	"37"	"3"	"Non, pas du tout"	"Chef(fe) de projet débutant"	""	"2"	"5 - Très satisfait"	"29298"	"X"	""	"2441"	""	""	"5 - Très satisfait"
"78"	"27/01/2021 - 15:41"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2018"	"2"	"Auvergne-Rhône-Alpes"	""	"Homme"	"0"	"Agence de paysage"	""	"2-5"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"C.D.I"	"38"	"3"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"2"	"4"	"16410"	"X"	""	"16410"	""	""	"0 - Pas du tout satisfait"
"79"	"27/01/2021 - 16:11"	"ENSAPBX"	""	"1991"	"20"	"Pays de la Loire"	""	"Femme"	"2"	"Agence de paysage"	""	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"Dirigeant de SARL"	"45"	"3"	"Non, pas du tout"	"Directeur(trice)/Dirigeant(e) de société"	""	"12"	"4"	""	""	"X"	""	"30000.00"	""	"3"
"80"	"28/01/2021 - 18:37"	"ENSP Versailles"	""	"2007"	"14"	"Pays de la Loire"	""	""	"2"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"3"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"7"	"4"	""	"X"	""	"28600"	""	""	"3"
"81"	"28/01/2021 - 19:13"	"ENSAPBX"	""	"2017"	"3"	"Grand Est"	""	"Femme"	"0"	"Fonction publique"	"Communauté de Communes "	"51-200"	"Fonction publique territoriale"	""	""	""	""	"X"	""	""	""	"Contractuel dans la fonction publique"	"42"	"3"	"Oui, y compris à temps complet"	"Chef(fe) de projet"	""	"1"	"4"	"18664"	"X"	""	"19948"	""	"RTT, Tickets restaurants, CE"	"2"
"82"	"28/01/2021 - 19:17"	"ENSP Versailles"	""	"2012"	"6"	"Paris"	""	"Homme"	"1"	"Agence de paysage"	"CDI"	"26-50"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"6"	"4"	""	"X"	""	"30000"	""	""	"5 - Très satisfait"
"83"	"28/01/2021 - 22:40"	"ENSP Versailles"	""	"2014"	"7"	"Normandie"	""	"Homme"	"1"	"Fonction publique"	"commune"	"1001-..."	"Fonction publique"	""	""	""	""	"X"	""	""	""	"C.D.D"	"35"	"5 - Très satisfait"	"Oui, si flexbile"	"Responsable d'équipe"	""	"7"	"2"	"24600"	"X"	"X"	"24600"	"5000"	"CE"	"4"
"84"	"30/01/2021 - 16:52"	"ENSP Versailles"	""	"2016"	"4"	"Île-de-France"	""	"Femme"	"0"	"Fonction publique"	""	"51-200"	"Fonction publique"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"3"	"Oui, si flexbile"	"Chargé(e) d'étude confirmé"	""	"2"	"4"	"20400"	"X"	"X"	"20400"	""	""	"2"
"85"	"31/01/2021 - 18:22"	"Agrocampus Ouest (INH)"	""	"2014"	"5"	"Hauts-de-France"	""	"Femme"	"0"	"Freelance / Indépendant"	"Micro entreprise"	"1"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"Micro-entrepreneur (ME / Auto-entrepreneur)"	"38"	"4"	"Oui, si flexbile"	"Autre"	"Chargée de projet et cheffe d'entreprise"	"1"	"5 - Très satisfait"	"13564"	"X"	"X"	"5400"	"8184"	"Aucun"	"0 - Pas du tout satisfait"
"86"	"01/02/2021 - 10:26"	"ENSAPBX"	""	"2018"	"2"	"Pays de la Loire"	""	"Femme"	"0"	"C.A.U.E"	""	"11-25"	"Convention collective des CAUE"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"5 - Très satisfait"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"2"	"4"	""	"X"	""	"27695"	""	"RTT, tickets restaurants, 13e mois, épargne salariale"	"5 - Très satisfait"
"87"	"01/02/2021 - 19:53"	"Agrocampus Ouest (INH)"	""	"2007"	"14"	"Hauts-de-France"	""	"Femme"	"2"	"Fonction publique"	""	"1001-..."	"Fonction publique territoriale"	""	""	""	""	""	""	""	""	"Fonctionnaire"	"39"	"5 - Très satisfait"	"Oui, si flexbile"	"Chef(fe) de projet confirmé"	""	"5"	"5 - Très satisfait"	"42892"	"X"	""	""	""	"RTT, CE"	"5 - Très satisfait"
"88"	"02/02/2021 - 10:31"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2010"	"10"	"Paris"	""	"Femme"	"0"	"Groupe"	"Société de Conseil"	"51-200"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Autre"	"Ingenieur d'affaires"	"1"	"4"	"28900"	"X"	""	"28900"	""	"RTT, tickets restaurants "	"4"
"89"	"02/02/2021 - 16:13"	"Lullier"	""	"2011"	"5"	"Auvergne-Rhône-Alpes"	""	"Homme"	"0"	"Entreprise de réalisation"	""	"1001-..."	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"3"	"Oui, si flexbile"	"Dessinateur(trice) projeteur"	""	"3"	"4"	"24123"	"X"	""	"24123"	""	"RTT et tickets restaurants"	"3"
"90"	"03/02/2021 - 11:33"	"ENSAPL"	""	"2016"	"3"	"Occitanie"	""	"Homme"	"0"	"Agence de paysage"	""	"6-10"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"1"	"Oui, si flexbile"	"Assistant(e) de projet"	""	"3"	"3"	"25440"	"X"	""	"25440"	""	""	"2"
"91"	"03/02/2021 - 12:40"	"Gembloux"	""	"2016"	"5"	"Autre"	"belgique"	"Homme"	"0"	"Bureau d'études"	"http://www.drea2m.be/"	"26-50"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"Micro-entrepreneur (ME / Auto-entrepreneur)"	"38"	"2"	"Oui, si flexbile"	"Assistant(e) de projet"	""	"5"	"2"	"20000"	"X"	"X"	"20000"	"29000"	"aucun"	"1"
"92"	"04/02/2021 - 17:30"	"ENSAPBX"	""	"2012"	"9"	"Nouvelle-Aquitaine"	""	"Femme"	"2"	"Bureau d'études"	"SCOP"	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"34"	"5 - Très satisfait"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"0"	"5 - Très satisfait"	"25200"	"X"	""	"21000"	""	""	"3"
"93"	"07/02/2021 - 21:06"	"Agrocampus Ouest (INH)"	""	"2015"	"4"	"Grand Est"	""	"Femme"	"0"	"Bureau d'études"	""	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"1"	"Oui, y compris à temps complet"	"Responsable d'agence / bureaux"	""	"4"	"4"	"32500"	"X"	""	"32000"	""	"Tickets restaurant, voiture, téléphone, cadeau de fin d’année"	"5 - Très satisfait"
"94"	"08/02/2021 - 13:47"	"Agrocampus Ouest (INH)"	""	"2011"	"10"	"Bretagne"	""	"Femme"	"0"	"Agence de paysage"	""	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"5 - Très satisfait"	"Non, uniquement pour le premier confinement"	"Chargé(e) d'étude confirmé"	""	"10"	"4"	"31500"	"X"	""	"31500"	""	""	"4"
"95"	"08/02/2021 - 14:34"	"ENSP Versailles"	""	"2010"	"10"	"Auvergne-Rhône-Alpes"	""	"Femme"	"0"	"Agence de paysage"	"Chargée d'études"	"2-5"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude confirmé"	""	"9"	"4"	"20990"	"X"	""	"20990"	""	"Aucun"	"2"
"96"	"08/02/2021 - 16:40"	"Agrocampus Ouest (INH)"	""	"2017"	"3"	"Autre"	"Royaume-Uni"	"Femme"	"0"	"Agence de paysage"	""	"2-5"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"40"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"3"	"5 - Très satisfait"	""	"X"	""	"28265"	""	"Bonus de fin d'annee, ordinateur pour télétravail etc. "	"4"
"97"	"20/02/2021 - 19:14"	"Lullier"	""	"2016"	"4"	"Auvergne-Rhône-Alpes"	""	"Femme"	"0"	"Agence de paysage"	""	"6-10"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"1"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"4"	"2"	"18758"	"X"	""	"18758"	""	""	"0 - Pas du tout satisfait"
"98"	"03/03/2021 - 10:37"	"Autre"	"Licence AP"	"2012"	"16"	"Île-de-France"	""	"Femme"	"0"	"Freelance / Indépendant"	""	"1"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"Micro-entrepreneur (ME / Auto-entrepreneur)"	"25"	"4"	"Oui, y compris à temps complet"	"Autre"	"Paysagiste-conceptrice "	"16"	"5 - Très satisfait"	""	"X"	"X"	"1350"	"1800"	"Souplesse des horaires, choix des projets, mi-temps"	"3"
"99"	"03/03/2021 - 22:11"	"ENSAPL"	""	"2019"	"1"	"Hauts-de-France"	""	""	"0"	"Agence de paysage"	""	"6-10"	"Convention collective chambres de commerce et d'industrie"	""	""	""	""	""	""	""	""	"C.D.D"	"40"	"1"	"Non, exceptionnellement pour les deux confinements"	"Chargé(e) d'étude"	""	"1"	"2"	"18000"	"X"	""	"18000"	""	""	"1"
"100"	"17/03/2021 - 16:45"	"ENSAPBX"	""	"2018"	"2"	"Occitanie"	""	"Homme"	"0"	"Bureau d'études"	"Bureau d'études paysagères"	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"3"	"Oui, y compris à temps complet"	"Chargé(e) d'étude débutant"	""	"2"	"4"	""	"X"	""	"24000"	""	"tickets restaurants"	"3"
"101"	"22/03/2021 - 21:05"	"Agrocampus Ouest (INH)"	""	"2012"	"8"	"Bretagne"	""	"Homme"	"0"	"Agence de paysage"	"Urbanisme et Paysage"	"2-5"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"3"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"1"	"5 - Très satisfait"	"24000"	""	""	""	""	""	"4"
"102"	"24/03/2021 - 11:23"	"ENSAPL"	""	"2015"	"5"	"Nouvelle-Aquitaine"	""	"Femme"	"0"	"Agence de paysage"	""	"26-50"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"2"	"Oui, si flexbile"	"Chef(fe) de projet débutant"	""	"1"	"2"	"23100"	"X"	""	"23100"	""	"-"	"2"
"103"	"28/03/2021 - 19:09"	"ENSAPL"	""	"2014"	"5"	"Hauts-de-France"	""	"Homme"	"0"	"Fonction publique"	"Commune de 100 000 hab."	"51-200"	"Fonction publique territoriale"	""	""	""	""	""	""	""	""	"Fonctionnaire"	"49"	"2"	"Oui, si flexbile"	"Directeur(trice)/Dirigeant(e) de société"	""	"1"	"3"	"35328"	"X"	""	""	""	""	"2"
"104"	"30/03/2021 - 15:03"	"ENSAPL"	""	"2010"	"11"	"Île-de-France"	""	"Homme"	"2"	"Bureau d'études"	""	"26-50"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"45"	"4"	"Non, pas du tout"	"Responsable d'équipe"	""	"2"	"4"	"50000"	"X"	""	"50000"	""	"moto de fonction"	"4"
"105"	"30/03/2021 - 15:27"	"ENSAPL"	""	"2018"	"3"	"Paris"	""	"Femme"	"0"	"Agence de paysage"	""	"26-50"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"33"	"4"	"Oui, si flexbile"	"Assistant(e) de projet"	""	"2"	"2"	""	"X"	""	"20791"	""	"Ticket restau"	"1"
"106"	"10/04/2021 - 15:24"	"ENSP Versailles"	""	"2015"	"4"	"Paris"	""	"Homme"	"0"	"Agence d'architecture"	"Atelier de paysage intégré à l'agence d'architecture"	"51-200"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"37.5"	"3"	"Oui, y compris à temps complet"	"Assistant(e) de projet"	""	"4"	"3"	"32841"	"X"	""	"2298"	""	"RTT, Tickets restaurants, CSE, Forfait mobilité douces/Navigo/Vélib 100%"	"0 - Pas du tout satisfait"
"107"	"14/04/2021 - 10:18"	"ENSAPL"	""	"2016"	"5"	"Centre-Val de Loire"	""	"Femme"	"0"	"Fonction publique"	"Métropole de + 110 000 habitants"	"501-1000"	"Fonction publique territoriale"	""	""	""	""	""	""	""	""	"Fonctionnaire"	"39"	"5 - Très satisfait"	"Oui, si flexbile"	"Chargé(e) d'opération"	""	"5"	"3"	"25000"	"X"	""	"25000"	""	"RTT, mutuelle avec participation employeur, CNAS"	"4"
"108"	"18/04/2021 - 16:23"	"ENSAPL"	""	"2017"	"3"	"Hauts-de-France"	""	"Femme"	"0"	"Fonction publique"	"Office National des Forêts"	"1001-..."	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"3"	"Oui, si flexbile"	"Chargé(e) d'étude confirmé"	""	"3"	"3"	"25430"	"X"	""	"1990"	""	"RTT, CE, voiture de fonction pour les déplacements"	"3"
"109"	"18/04/2021 - 17:57"	"ENSAPL"	""	"2018"	"3"	"Bretagne"	""	"Femme"	"0"	"Bureau d'études"	""	"26-50"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"40"	"3"	"Oui, si flexbile"	"Chef(fe) de projet débutant"	""	"1"	"4"	"22500"	"X"	""	""	""	"RTT, CE, Tickets restaurants, Chèque vacance "	"3"
"110"	"18/04/2021 - 18:08"	"Autre"	"Architecture et scénographie "	"2018"	"5"	"Nouvelle-Aquitaine"	""	"Homme"	"0"	"Agence de paysage"	""	"51-200"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"1"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"1"	"3"	"28000"	"X"	""	""	""	"Aucun"	"3"
"111"	"20/04/2021 - 08:47"	"ENSAPL"	""	"2019"	"1"	"Hauts-de-France"	""	"Femme"	"0"	"Bureau d'études"	""	"6-10"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"C.D.D"	"40"	"1"	"Oui, si flexbile"	"Chef(fe) de projet débutant"	""	"1"	"3"	"18060"	"X"	""	"18060"	""	""	"1"
"112"	"02/05/2021 - 12:23"	"Lullier"	""	"2016"	"4"	"Auvergne-Rhône-Alpes"	""	"Femme"	"0"	"Agence de paysage"	""	"11-25"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"4"	"3"	"18758"	"X"	""	"18758"	""	""	"2"
"113"	"09/05/2021 - 13:01"	"ENSAPL"	""	"2018"	"2"	"Paris"	""	"Femme"	"0"	"Agence d'architecture"	""	"51-200"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"3"	"Oui, si flexbile"	"Assistant(e) de projet"	""	"0"	"4"	""	"X"	""	"20809"	""	"ticket restaurants"	"4"
"114"	"24/05/2021 - 23:18"	"ENSAPL"	""	"2009"	"12"	"Paris"	""	"Homme"	"0"	"Agence de paysage"	"Structure pluridisciplinaire Archi,urba, paysage"	"51-200"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"4"	"Oui, si flexbile"	"Responsable d'équipe"	""	"1"	"4"	"49000"	"X"	""	""	""	"Tickets resto, mutuelle avantageuse"	"3"
"115"	"28/05/2021 - 11:46"	"ENSAPL"	""	"2011"	"10"	"Île-de-France"	""	"Homme"	"1"	"Agence d'architecture"	"sarl"	"11-25"	"Convention collective nationale des entreprises d'architecture"	"X"	""	""	""	""	"X"	""	""	"C.D.D"	"24"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"0"	"4"	"26000"	"X"	""	"26000"	""	"tickets restaurant uniquement"	"3"
"116"	"27/06/2021 - 18:33"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2020"	"1"	"Nouvelle-Aquitaine"	""	"Homme"	"0"	"Agence d'architecture"	"Agence d'architecture et d'espace public"	"2-5"	"Code du travail (Sans convention)"	""	""	""	""	""	""	""	""	"C.D.D"	"35"	"5 - Très satisfait"	"Oui, si flexbile"	"Chargé(e) d'étude débutant"	""	"1"	"4"	"18600"	"X"	""	"18600"	""	""	"3"
"117"	"06/07/2021 - 10:42"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2018"	"3"	"Bourgogne-Franche-Comté"	""	"Femme"	"0"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"3"	"4"	"20644"	"X"	""	"20644"	""	""	"3"
"118"	"06/07/2021 - 10:43"	"Gembloux"	""	"2020"	"2"	"Autre"	"Bruxelles"	"Homme"	"0"	"Bureau d'études"	"Bureau d'infrastructure routière"	"11-25"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"40"	"4"	"Oui, si flexbile"	"Dessinateur(trice) projeteur"	""	"1"	"2"	"22344"	"X"	""	""	""	"Rtt, tickets restaurants, primes vacances, primes fin d'année, frais de déplacement"	"4"
"119"	"06/07/2021 - 10:44"	"Lullier"	""	"2011"	"10"	"Auvergne-Rhône-Alpes"	""	"Homme"	"2"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"Dirigeant de SARL"	"45"	"4"	"Non, pas du tout"	"Directeur(trice)/Dirigeant(e) de société"	""	"10"	"5 - Très satisfait"	"16559"	"X"	""	"16559"	""	""	"2"
"120"	"06/07/2021 - 10:45"	"ENSP Versailles"	""	"2017"	"4"	"Île-de-France"	""	"Homme"	"0"	"Freelance / Indépendant"	"Micro entreprise"	"1"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"Micro-entrepreneur (ME / Auto-entrepreneur)"	"39"	"3"	"Oui, si flexbile"	"Autre"	"Paysagiste concepteur"	"4"	"4"	""	"X"	""	"23500"	""	"0"	"2"
